CourseType,Description,Locations,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
iD Tech Camps | Weeklong,"Cozmo is more than a computer—it's an AI with personality, a companion for a journey into a world of adventures and challenges (long after camp ends). Learn coding with Cozmo and see its artificial intelligence react with giggles, jiggles, squeals, and squeaks as you triumph together on any task. Use visual coding to make alarm clocks, play block-moving games, and see what programming can do with a new electronic friend.

Students will be given a voucher that will allow them to order a Cozmo free of charge if delivery is within the United States.","['Hong Kong', 'Hong Kong', 'Singapore', 'Tempe, AZ', 'Concord, CA', 'Sacramento, CA', 'Livermore, CA', 'Palo Alto, CA', 'San Anselmo, CA', 'San Francisco, CA', 'San Jose, CA', 'Santa Clara, CA', 'Santa Rosa, CA', 'Santa Clara, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Saratoga, CA', 'La Mirada, CA', 'Thousand Oaks, CA', 'Pomona, CA', 'San Marcos, CA', 'Long Beach, CA', 'Los Angeles, CA', 'Pasadena, CA', 'Irvine, CA', 'La Jolla, CA', 'Santa Barbara, CA', 'Los Angeles, CA', 'San Diego, CA', 'Fort Collins, CO', 'Highlands Ranch, CO', 'Boulder, CO', 'Denver, CO', 'Fairfield, CT', 'New Haven, CT', 'Hartford, CT', 'Middletown, CT', 'Boca Raton, FL', 'Winter Park, FL', 'Coral Gables, FL', 'Jacksonville, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Chicago, IL', 'Indianapolis, IN', 'West Lafayette, IN', 'Louisville, KY', 'Rockville, MD', 'Towson, MD', 'College Park, MD', 'Amherst, MA', 'Waltham, MA', 'Quincy, MA', 'Beverly, MA', 'Cambridge, MA', 'Newton, MA', 'Cambridge, MA', 'Needham, MA', 'Southborough, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'Kansas City, MO', 'St. Louis, MO', 'Las Vegas, NV', 'Las Vegas, NV', 'Madison, NJ', 'West Long Branch, NJ', 'Montclair, NJ', 'Princeton, NJ', 'Mahwah, NJ', 'Mt Laurel, NJ', 'South Orange, NJ', 'Garden City, NY', 'Purchase, NY', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Queens, NY', 'Bronxville, NY', 'Stony Brook, NY', 'Davidson, NC', 'Raleigh, NC', 'Charlotte, NC', 'Chapel Hill, NC', 'Cleveland, OH', 'Cincinnati, OH', 'Glenside, PA', 'Pittsburgh, PA', 'Bethlehem, PA', 'Philadelphia, PA', 'West Chester, PA', 'Memphis, TN', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'San Antonio, TX', 'Richardson, TX', 'Houston, TX', 'Westlake, TX', 'Charlottesville, VA', 'Falls Church, VA', 'Seattle, WA', 'Bellevue, WA', 'Tacoma, WA', 'Bothell, WA', 'Seattle, WA', 'Washington, D.C.', 'Washington, D.C.', 'Washington, D.C.', 'Waukesha, WI', 'Milwaukee, WI', 'Madison, WI']",9,7,iDTech,Beginner-Advanced,Code-a-Bot: AI and Robotics with Your Own Cozmo,"Coding, Robotics",https://www.idtech.com/courses/code-a-bot-ai-and-robotics-with-cozmo
iD Tech Camps | Weeklong,"In this coding adventure, aspiring innovators create fun animated stories and games while learning essential programming concepts with Scratch. Using sprites and blocks, this drag-and-drop platform developed by MIT sets a foundation of computational thinking—an essential skill in today’s tech-driven world—by using bright visuals and engaging design.","['Hong Kong', 'Hong Kong', 'Singapore', 'Tempe, AZ', 'Sacramento, CA', 'Livermore, CA', 'Palo Alto, CA', 'San Jose, CA', 'San Francisco, CA', 'Santa Clara, CA', 'Santa Clara, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Saratoga, CA', 'La Mirada, CA', 'Thousand Oaks, CA', 'Pomona, CA', 'San Marcos, CA', 'Long Beach, CA', 'Pasadena, CA', 'Mission Viejo, CA', 'Irvine, CA', 'La Jolla, CA', 'Los Angeles, CA', 'San Diego, CA', 'Fort Collins, CO', 'Denver, CO', 'Fairfield, CT', 'New Haven, CT', 'Hartford, CT', 'Boca Raton, FL', 'Coral Gables, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Chicago, IL', 'Evanston, IL', 'Indianapolis, IN', 'Louisville, KY', 'Rockville, MD', 'Amherst, MA', 'Waltham, MA', 'Cambridge, MA', 'Newton, MA', 'Cambridge, MA', 'Southborough, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'Kansas City, MO', 'St. Louis, MO', 'Las Vegas, NV', 'Las Vegas, NV', 'Madison, NJ', 'West Long Branch, NJ', 'Princeton, NJ', 'Mahwah, NJ', 'Mt Laurel, NJ', 'South Orange, NJ', 'Garden City, NY', 'New York, NY', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Queens, NY', 'Bronxville, NY', 'Stony Brook, NY', 'New Paltz, NY', 'Davidson, NC', 'Chapel Hill, NC', 'Cleveland, OH', 'Columbus, OH', 'Cincinnati, OH', 'Portland, OR', 'Pittsburgh, PA', 'Bethlehem, PA', 'Philadelphia, PA', 'Villanova, PA', 'West Chester, PA', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'Austin, TX', 'San Antonio, TX', 'Richardson, TX', 'Houston, TX', 'Westlake, TX', 'Richmond, VA', 'Falls Church, VA', 'Seattle, WA', 'Bellevue, WA', 'Bothell, WA', 'Seattle, WA', 'Washington, D.C.', 'Washington, D.C.', 'Madison, WI']",9,7,iDTech,Beginner-Advanced,CodeMaker: Code and Design Games with Scratch,"Coding, Game Development, Design",https://www.idtech.com/courses/codemaker-code-and-design-games-with-scratch
iD Tech Camps | Weeklong,"Get creative in a maker environment that blends electronics and code! With the littleBits Code Kit, explore a future in electrical programming and engineering by creating interactive games, LED matrix displays, and spinning propellers. The littleBits intuitive drag-and-drop interface makes programming contextual and fun. Create, make, invent, and engineer with littleBits!","['Hong Kong', 'Tempe, AZ', 'Sacramento, CA', 'Palo Alto, CA', 'Santa Clara, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Pomona, CA', 'Pasadena, CA', 'Irvine, CA', 'La Jolla, CA', 'Los Angeles, CA', 'Highlands Ranch, CO', 'Denver, CO', 'New Haven, CT', 'Atlanta, GA', 'Lisle, IL', 'Lake Forest, IL', 'Evanston, IL', 'Indianapolis, IN', 'Waltham, MA', 'Newton, MA', 'Cambridge, MA', 'Needham, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'St. Louis, MO', 'Princeton, NJ', 'Mahwah, NJ', 'New York, NY', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'Charlotte, NC', 'Chapel Hill, NC', 'Columbus, OH', 'Portland, OR', 'Pittsburgh, PA', 'Villanova, PA', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Seattle, WA', 'Bellevue, WA', 'Bothell, WA', 'Seattle, WA']",9,7,iDTech,Beginner-Advanced,CreationLab: Inventing and Coding with littleBits,"Coding, Design, Robotics",https://www.idtech.com/courses/creationlab-inventing-and-coding-with-littlebits
iD Tech Camps | Weeklong,"Imagine it, engineer it, and make it go! Powered by the LEGO MINDSTORMS Education EV3 Base Set and software, explore the exciting world of robotics and engineering. Combining the versatility of the LEGO building system and intuitive drag-and-drop programming software, this adventure encourages teamwork, friendship, and creativity from day one.","['Hong Kong', 'Singapore', 'Tempe, AZ', 'Sacramento, CA', 'Palo Alto, CA', 'San Francisco, CA', 'Santa Clara, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Pomona, CA', 'Long Beach, CA', 'Pasadena, CA', 'Irvine, CA', 'La Jolla, CA', 'Denver, CO', 'New Haven, CT', 'Winter Park, FL', 'Coral Gables, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Evanston, IL', 'Indianapolis, IN', 'College Park, MD', 'Waltham, MA', 'Newton, MA', 'Cambridge, MA', 'Needham, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'St. Louis, MO', 'New York, NY', 'New York, NY', 'Stony Brook, NY', 'Chapel Hill, NC', 'Cleveland, OH', 'Columbus, OH', 'Cincinnati, OH', 'Portland, OR', 'Pittsburgh, PA', 'Villanova, PA', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'San Antonio, TX', 'Bellevue, WA', 'Seattle, WA', 'Milwaukee, WI', 'Madison, WI']",9,7,iDTech,Beginner-Advanced,RoboCoder: LEGO Robotics and Visual Programming,"Robotics, Coding",https://www.idtech.com/courses/robocoder-lego-robotics-and-visual-programming
iD Tech Camps | Weeklong,"Dive into the educational benefits of Minecraft by creating and exploring this blocky world. Aspiring game designers learn problem-solving, level design, and more, building unique maps and crafting resource packs. Adding command blocks and redstone takes learning to the next level in a course designed to get students excited about game design through their favorite lens—Minecraft.","['Hong Kong', 'Hong Kong', 'Singapore', 'Tempe, AZ', 'Concord, CA', 'Sacramento, CA', 'Palo Alto, CA', 'San Anselmo, CA', 'San Francisco, CA', 'San Jose, CA', 'Santa Clara, CA', 'Santa Rosa, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Saratoga, CA', 'La Mirada, CA', 'Thousand Oaks, CA', 'Pomona, CA', 'San Marcos, CA', 'Long Beach, CA', 'Los Angeles, CA', 'Rancho Palos Verdes, CA', 'Pasadena, CA', 'Mission Viejo, CA', 'Irvine, CA', 'La Jolla, CA', 'Santa Barbara, CA', 'Los Angeles, CA', 'San Diego, CA', 'Fort Collins, CO', 'Highlands Ranch, CO', 'Boulder, CO', 'Denver, CO', 'Fairfield, CT', 'New Haven, CT', 'Middletown, CT', 'Boca Raton, FL', 'Winter Park, FL', 'Coral Gables, FL', 'Jacksonville, FL', 'Tampa, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Chicago, IL', 'Evanston, IL', 'Indianapolis, IN', 'West Lafayette, IN', 'Louisville, KY', 'Rockville, MD', 'Towson, MD', 'College Park, MD', 'Amherst, MA', 'Waltham, MA', 'Quincy, MA', 'Beverly, MA', 'Cambridge, MA', 'Newton, MA', 'Cambridge, MA', 'Needham, MA', 'Southborough, MA', 'Lowell, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'Kansas City, MO', 'St. Louis, MO', 'Las Vegas, NV', 'Las Vegas, NV', 'Madison, NJ', 'Union, NJ', 'West Long Branch, NJ', 'Montclair, NJ', 'Princeton, NJ', 'Mahwah, NJ', 'Mt Laurel, NJ', 'South Orange, NJ', 'Garden City, NY', 'New York, NY', 'Purchase, NY', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Queens, NY', 'Bronxville, NY', 'Stony Brook, NY', 'New Paltz, NY', 'Davidson, NC', 'Raleigh, NC', 'Charlotte, NC', 'Chapel Hill, NC', 'Cleveland, OH', 'Columbus, OH', 'Cincinnati, OH', 'Portland, OR', 'Glenside, PA', 'Pittsburgh, PA', 'Bethlehem, PA', 'Philadelphia, PA', 'Villanova, PA', 'West Chester, PA', 'Memphis, TN', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'Austin, TX', 'San Antonio, TX', 'Houston, TX', 'Richardson, TX', 'Houston, TX', 'Westlake, TX', 'Burlington, VT', 'Williamsburg, VA', 'Richmond, VA', 'Charlottesville, VA', 'Falls Church, VA', 'Seattle, WA', 'Bellevue, WA', 'Tacoma, WA', 'Bothell, WA', 'Seattle, WA', 'Washington, D.C.', 'Washington, D.C.', 'Washington, D.C.', 'Waukesha, WI', 'Milwaukee, WI', 'Madison, WI']",9,7,iDTech,Beginner-Advanced,WorldBuilder: Minecraft Game Design,"Game Development, Design",https://www.idtech.com/courses/worldbuilder-minecraft-game-design
iD Tech Camps | Weeklong,"Imagination meets production in this hands-on course. Learn how to design simple 3D objects and prepare them for 3D printing with Autodesk Maya. Make something from scratch or import a more intricate model to use as a starting point, then watch your creation print and take it home!

Students will be given a voucher that will allow them to order a 3D printer free of charge if delivery is within the United States.","['Tempe, AZ', 'Santa Clara, CA', 'Santa Clara, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Pasadena, CA', 'Irvine, CA', 'La Jolla, CA', 'Los Angeles, CA', 'San Diego, CA', 'Denver, CO', 'Coral Gables, FL', 'Atlanta, GA', 'Lisle, IL', 'Lake Forest, IL', 'Indianapolis, IN', 'Waltham, MA', 'Cambridge, MA', 'Cambridge, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'St. Louis, MO', 'Princeton, NJ', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Bronxville, NY', 'Chapel Hill, NC', 'Cincinnati, OH', 'Pittsburgh, PA', 'Villanova, PA', 'Houston, TX', 'Austin, TX', 'Falls Church, VA', 'Seattle, WA', 'Seattle, WA', 'Washington, D.C.']",12,10,iDTech,Beginner-Advanced,3D Printing and Modeling with Take-Home Printer,Design,https://www.idtech.com/courses/3d-printing-and-modeling
iD Tech Camps | Weeklong,"Spend your first day assembling a pi-top laptop from a Raspberry Pi and other circuit boards (that's yours to take home). Learn to troubleshoot hardware assembly and experience the thrill of booting up the laptop—that you built—for the first time. Then it's on to Python programming and electrical engineering. With an introduction to what hardware, engineering, and coding have to offer, this course has something for everyone.","['Hong Kong', 'Hong Kong', 'Singapore', 'Tempe, AZ', 'Concord, CA', 'Sacramento, CA', 'Palo Alto, CA', 'San Anselmo, CA', 'San Francisco, CA', 'San Jose, CA', 'Santa Clara, CA', 'Santa Rosa, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Saratoga, CA', 'Thousand Oaks, CA', 'Pomona, CA', 'San Marcos, CA', 'Pasadena, CA', 'Long Beach, CA', 'Los Angeles, CA', 'Rancho Palos Verdes, CA', 'Pasadena, CA', 'Mission Viejo, CA', 'Irvine, CA', 'La Jolla, CA', 'Santa Barbara, CA', 'Los Angeles, CA', 'San Diego, CA', 'Boulder, CO', 'Denver, CO', 'Fairfield, CT', 'New Haven, CT', 'Hartford, CT', 'Middletown, CT', 'Boca Raton, FL', 'Winter Park, FL', 'Coral Gables, FL', 'Tampa, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Chicago, IL', 'Evanston, IL', 'Indianapolis, IN', 'West Lafayette, IN', 'Louisville, KY', 'Rockville, MD', 'Towson, MD', 'College Park, MD', 'Amherst, MA', 'Waltham, MA', 'Quincy, MA', 'Cambridge, MA', 'Newton, MA', 'Cambridge, MA', 'Needham, MA', 'Southborough, MA', 'Lowell, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'Kansas City, MO', 'St. Louis, MO', 'Las Vegas, NV', 'Las Vegas, NV', 'Manchester, NH', 'Madison, NJ', 'Union, NJ', 'West Long Branch, NJ', 'Montclair, NJ', 'Princeton, NJ', 'Mahwah, NJ', 'Mt Laurel, NJ', 'South Orange, NJ', 'Garden City, NY', 'New York, NY', 'Purchase, NY', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Queens, NY', 'Bronxville, NY', 'Stony Brook, NY', 'New Paltz, NY', 'Davidson, NC', 'Raleigh, NC', 'Charlotte, NC', 'Chapel Hill, NC', 'Cleveland, OH', 'Columbus, OH', 'Cincinnati, OH', 'Portland, OR', 'Pittsburgh, PA', 'Bethlehem, PA', 'Philadelphia, PA', 'Villanova, PA', 'West Chester, PA', 'Memphis, TN', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'Fort Worth, TX', 'Austin, TX', 'San Antonio, TX', 'Houston, TX', 'Richardson, TX', 'Houston, TX', 'Westlake, TX', 'Williamsburg, VA', 'Richmond, VA', 'Charlottesville, VA', 'Falls Church, VA', 'Seattle, WA', 'Tacoma, WA', 'Bothell, WA', 'Seattle, WA', 'Washington, D.C.', 'Washington, D.C.', 'Washington, D.C.', 'Waukesha, WI', 'Milwaukee, WI', 'Madison, WI']",12,10,iDTech,Beginner-Advanced,"Build, Invent, and Code YourTake-Home Laptop","Coding, Robotics",https://www.idtech.com/courses/build-invent-and-code-a-laptop
iD Tech Camps | Weeklong,"A future in coding begins here. This introduction to programming starts with the building blocks of a computer—the hardware. Then it's all about the 1s and 0s, discovering how coded instructions are executed directly by a computer's CPU. Building on this knowledge, students learn object-oriented programming concepts with JavaScript, and dive into fun challenges that foster real-world skills.","['Hong Kong', 'Hong Kong', 'Singapore', 'Tempe, AZ', 'Concord, CA', 'Sacramento, CA', 'Livermore, CA', 'Palo Alto, CA', 'San Anselmo, CA', 'San Francisco, CA', 'San Jose, CA', 'Santa Clara, CA', 'Santa Rosa, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Saratoga, CA', 'La Mirada, CA', 'Thousand Oaks, CA', 'Pomona, CA', 'San Marcos, CA', 'Pasadena, CA', 'Long Beach, CA', 'Los Angeles, CA', 'Rancho Palos Verdes, CA', 'Mission Viejo, CA', 'Irvine, CA', 'La Jolla, CA', 'Santa Barbara, CA', 'Los Angeles, CA', 'San Diego, CA', 'Fort Collins, CO', 'Highlands Ranch, CO', 'Boulder, CO', 'Denver, CO', 'Fairfield, CT', 'New Haven, CT', 'Hartford, CT', 'Middletown, CT', 'Boca Raton, FL', 'Winter Park, FL', 'Coral Gables, FL', 'Jacksonville, FL', 'Tampa, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Chicago, IL', 'Evanston, IL', 'Indianapolis, IN', 'Louisville, KY', 'Rockville, MD', 'Towson, MD', 'College Park, MD', 'Amherst, MA', 'Waltham, MA', 'Beverly, MA', 'Cambridge, MA', 'Newton, MA', 'Cambridge, MA', 'Needham, MA', 'Southborough, MA', 'Lowell, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'Kansas City, MO', 'St. Louis, MO', 'Las Vegas, NV', 'Las Vegas, NV', 'Manchester, NH', 'Madison, NJ', 'Union, NJ', 'West Long Branch, NJ', 'Montclair, NJ', 'Princeton, NJ', 'Mahwah, NJ', 'Mt Laurel, NJ', 'Garden City, NY', 'New York, NY', 'Purchase, NY', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Queens, NY', 'Bronxville, NY', 'Stony Brook, NY', 'New Paltz, NY', 'Davidson, NC', 'Raleigh, NC', 'Charlotte, NC', 'Chapel Hill, NC', 'Cleveland, OH', 'Columbus, OH', 'Cincinnati, OH', 'Portland, OR', 'Glenside, PA', 'Pittsburgh, PA', 'Bethlehem, PA', 'Philadelphia, PA', 'Villanova, PA', 'West Chester, PA', 'Memphis, TN', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'Fort Worth, TX', 'Austin, TX', 'San Antonio, TX', 'Houston, TX', 'Houston, TX', 'Westlake, TX', 'Burlington, VT', 'Williamsburg, VA', 'Richmond, VA', 'Charlottesville, VA', 'Falls Church, VA', 'Seattle, WA', 'Bellevue, WA', 'Tacoma, WA', 'Bothell, WA', 'Seattle, WA', 'Washington, D.C.', 'Washington, D.C.', 'Milwaukee, WI', 'Madison, WI']",12,10,iDTech,Beginner-Intermediate,Coding 101,Coding,https://www.idtech.com/courses/coding-101
iD Tech Camps | Weeklong,"This is where coding and engineering collide. Start with the foundation of a computer—the hardware. Then get binary (01101100 01101111 01101100) to learn how a computer executes coded instructions. Put this together with object-oriented programming concepts in JavaScript and learn how to program the micro:bit, an interactive pocket-sized computer that's yours to take home. Use JavaScript to detect motion, send messages, and make games while developing real-world hardware skills.","['Hong Kong', 'Hong Kong', 'Singapore', 'Tempe, AZ', 'Concord, CA', 'Sacramento, CA', 'Livermore, CA', 'Palo Alto, CA', 'San Jose, CA', 'San Anselmo, CA', 'San Francisco, CA', 'San Jose, CA', 'Santa Clara, CA', 'Santa Rosa, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Saratoga, CA', 'La Mirada, CA', 'Thousand Oaks, CA', 'Pomona, CA', 'San Marcos, CA', 'Pasadena, CA', 'Long Beach, CA', 'Los Angeles, CA', 'Rancho Palos Verdes, CA', 'Mission Viejo, CA', 'Irvine, CA', 'La Jolla, CA', 'Santa Barbara, CA', 'Los Angeles, CA', 'San Diego, CA', 'Fort Collins, CO', 'Highlands Ranch, CO', 'Boulder, CO', 'Denver, CO', 'Fairfield, CT', 'New Haven, CT', 'Hartford, CT', 'Middletown, CT', 'Boca Raton, FL', 'Winter Park, FL', 'Coral Gables, FL', 'Jacksonville, FL', 'Tampa, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Chicago, IL', 'Evanston, IL', 'Indianapolis, IN', 'Louisville, KY', 'Rockville, MD', 'Towson, MD', 'College Park, MD', 'Amherst, MA', 'Waltham, MA', 'Beverly, MA', 'Cambridge, MA', 'Newton, MA', 'Cambridge, MA', 'Needham, MA', 'Southborough, MA', 'Lowell, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'Kansas City, MO', 'St. Louis, MO', 'Las Vegas, NV', 'Las Vegas, NV', 'Manchester, NH', 'Madison, NJ', 'Union, NJ', 'West Long Branch, NJ', 'Montclair, NJ', 'Princeton, NJ', 'Mahwah, NJ', 'Mt Laurel, NJ', 'Garden City, NY', 'New York, NY', 'Purchase, NY', 'New York, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Queens, NY', 'Bronxville, NY', 'Stony Brook, NY', 'New Paltz, NY', 'Davidson, NC', 'Raleigh, NC', 'Charlotte, NC', 'Chapel Hill, NC', 'Cleveland, OH', 'Columbus, OH', 'Cincinnati, OH', 'Portland, OR', 'Glenside, PA', 'Pittsburgh, PA', 'Bethlehem, PA', 'Philadelphia, PA', 'Villanova, PA', 'West Chester, PA', 'Memphis, TN', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'Fort Worth, TX', 'Austin, TX', 'San Antonio, TX', 'Houston, TX', 'Houston, TX', 'Westlake, TX', 'Burlington, VT', 'Williamsburg, VA', 'Richmond, VA', 'Charlottesville, VA', 'Falls Church, VA', 'Seattle, WA', 'Bellevue, WA', 'Tacoma, WA', 'Bothell, WA', 'Seattle, WA', 'Washington, D.C.', 'Washington, D.C.', 'Milwaukee, WI', 'Madison, WI']",12,10,iDTech,Beginner-Intermediate,Coding and Engineering 101,"Coding, Robotics",https://www.idtech.com/courses/coding-and-engineering-101
iD Tech Camps | Weeklong,"Start with an introduction to fundamental game design principles, then build a unique game with GameMaker, an industry-standard tool used by developers and universities around the world. Beginners and indie developers alike can drag-and-drop their way to game creation with this easy-to-use editor. Launch your future career in game design with the creative power of GameMaker.","['Hong Kong', 'Hong Kong', 'Tempe, AZ', 'Sacramento, CA', 'Palo Alto, CA', 'Santa Clara, CA', 'Moraga, CA', 'Palo Alto, CA', 'Berkeley, CA', 'Thousand Oaks, CA', 'Pomona, CA', 'Pasadena, CA', 'Los Angeles, CA', 'Pasadena, CA', 'Irvine, CA', 'Santa Barbara, CA', 'Los Angeles, CA', 'Fort Collins, CO', 'Highlands Ranch, CO', 'Boulder, CO', 'Denver, CO', 'Fairfield, CT', 'New Haven, CT', 'Hartford, CT', 'Boca Raton, FL', 'Winter Park, FL', 'Coral Gables, FL', 'Jacksonville, FL', 'Tampa, FL', 'Atlanta, GA', 'Lisle, IL', 'Chicago, IL', 'Lake Forest, IL', 'Evanston, IL', 'Indianapolis, IN', 'Rockville, MD', 'Towson, MD', 'College Park, MD', 'Amherst, MA', 'Waltham, MA', 'Quincy, MA', 'Beverly, MA', 'Cambridge, MA', 'Cambridge, MA', 'Lowell, MA', 'Ann Arbor, MI', 'St. Paul, MN', 'Kansas City, MO', 'St. Louis, MO', 'Las Vegas, NV', 'Madison, NJ', 'Union, NJ', 'Montclair, NJ', 'Princeton, NJ', 'Mahwah, NJ', 'Garden City, NY', 'New York, NY', 'Purchase, NY', 'New York, NY', 'Old Westbury, NY', 'New York, NY', 'New York, NY', 'Queens, NY', 'Bronxville, NY', 'Stony Brook, NY', 'New Paltz, NY', 'Raleigh, NC', 'Chapel Hill, NC', 'Cleveland, OH', 'Columbus, OH', 'Glenside, PA', 'Pittsburgh, PA', 'Bethlehem, PA', 'Philadelphia, PA', 'Villanova, PA', 'West Chester, PA', 'Memphis, TN', 'Nashville, TN', 'Houston, TX', 'Dallas, TX', 'Austin, TX', 'Fort Worth, TX', 'Austin, TX', 'San Antonio, TX', 'Richardson, TX', 'Houston, TX', 'Westlake, TX', 'Burlington, VT', 'Williamsburg, VA', 'Richmond, VA', 'Charlottesville, VA', 'Falls Church, VA', 'Seattle, WA', 'Tacoma, WA', 'Bothell, WA', 'Seattle, WA', 'Washington, D.C.', 'Waukesha, WI', 'Milwaukee, WI', 'Madison, WI']",12,10,iDTech,Beginner-Advanced,Game Design 101,Game Development,https://www.idtech.com/courses/game-design-101
